FIPS Code,State,Area name,Attribute,Value
0,US,United States,"Less than high school graduate, 2019-23",24230217
0,US,United States,"High school graduate (or equivalency), 2019-23",59836489
0,US,United States,"Some college or associate degree, 2019-23",64413653
0,US,United States,"Bachelor's degree or higher, 2019-23",79954302
0,US,United States,"Percent of adults who are not high school graduates, 2019-23",10.60706676
0,US,United States,"Percent of adults who are high school graduates (or equivalent), 2019-23",26.19413741
0,US,United States,"Percent of adults completing some college or associate degree, 2019-23",28.1978456
0,US,United States,"Percent of adults with a bachelor's degree or higher, 2019-23",35.00095023
1000,AL,Alabama,"Less than high school graduate, 2019-23",409381
1000,AL,Alabama,"High school graduate (or equivalency), 2019-23",1046374
1000,AL,Alabama,"Some college or associate degree, 2019-23",1035466
1000,AL,Alabama,"Bachelor's degree or higher, 2019-23",957081
1000,AL,Alabama,"Percent of adults who are not high school graduates, 2019-23",11.87195901
1000,AL,Alabama,"Percent of adults who are high school graduates (or equivalent), 2019-23",30.34461599
1000,AL,Alabama,"Percent of adults completing some college or associate degree, 2019-23",30.02828639
1000,AL,Alabama,"Percent of adults with a bachelor's degree or higher, 2019-23",27.75513862
2000,AK,Alaska,"Less than high school graduate, 2019-23",31854
2000,AK,Alaska,"High school graduate (or equivalency), 2019-23",141206
2000,AK,Alaska,"Some college or associate degree, 2019-23",162411
2000,AK,Alaska,"Bachelor's degree or higher, 2019-23",152432
2000,AK,Alaska,"Percent of adults who are not high school graduates, 2019-23",6.528756741
2000,AK,Alaska,"Percent of adults who are high school graduates (or equivalent), 2019-23",28.94140844
2000,AK,Alaska,"Percent of adults completing some college or associate degree, 2019-23",33.28755921
2000,AK,Alaska,"Percent of adults with a bachelor's degree or higher, 2019-23",31.24227562
4000,AZ,Arizona,"Less than high school graduate, 2019-23",544528
4000,AZ,Arizona,"High school graduate (or equivalency), 2019-23",1171693
4000,AZ,Arizona,"Some college or associate degree, 2019-23",1646950
4000,AZ,Arizona,"Bachelor's degree or higher, 2019-23",1627462
4000,AZ,Arizona,"Percent of adults who are not high school graduates, 2019-23",10.91100067
4000,AZ,Arizona,"Percent of adults who are high school graduates (or equivalent), 2019-23",23.47784339
4000,AZ,Arizona,"Percent of adults completing some college or associate degree, 2019-23",33.00082374
4000,AZ,Arizona,"Percent of adults with a bachelor's degree or higher, 2019-23",32.6103322
5000,AR,Arkansas,"Less than high school graduate, 2019-23",233857
5000,AR,Arkansas,"High school graduate (or equivalency), 2019-23",702778
5000,AR,Arkansas,"Some college or associate degree, 2019-23",593923
5000,AR,Arkansas,"Bachelor's degree or higher, 2019-23",513221
5000,AR,Arkansas,"Percent of adults who are not high school graduates, 2019-23",11.44238198
5000,AR,Arkansas,"Percent of adults who are high school graduates (or equivalent), 2019-23",34.3862032
5000,AR,Arkansas,"Percent of adults completing some college or associate degree, 2019-23",29.06004025
5000,AR,Arkansas,"Percent of adults with a bachelor's degree or higher, 2019-23",25.11137457
6000,CA,California,"Less than high school graduate, 2019-23",4149146
6000,CA,California,"High school graduate (or equivalency), 2019-23",5496195
6000,CA,California,"Some college or associate degree, 2019-23",7461496
6000,CA,California,"Bachelor's degree or higher, 2019-23",9834361
6000,CA,California,"Percent of adults who are not high school graduates, 2019-23",15.40074795
6000,CA,California,"Percent of adults who are high school graduates (or equivalent), 2019-23",20.4007075
6000,CA,California,"Percent of adults completing some college or associate degree, 2019-23",27.69548704
6000,CA,California,"Percent of adults with a bachelor's degree or higher, 2019-23",36.50305751
8000,CO,Colorado,"Less than high school graduate, 2019-23",292446
8000,CO,Colorado,"High school graduate (or equivalency), 2019-23",811023
8000,CO,Colorado,"Some college or associate degree, 2019-23",1128710
8000,CO,Colorado,"Bachelor's degree or higher, 2019-23",1806355
8000,CO,Colorado,"Percent of adults who are not high school graduates, 2019-23",7.241390069
8000,CO,Colorado,"Percent of adults who are high school graduates (or equivalent), 2019-23",20.08211396
8000,CO,Colorado,"Percent of adults completing some college or associate degree, 2019-23",27.94850805
8000,CO,Colorado,"Percent of adults with a bachelor's degree or higher, 2019-23",44.72798793
9000,CT,Connecticut,"Less than high school graduate, 2019-23",219549
9000,CT,Connecticut,"High school graduate (or equivalency), 2019-23",647094
9000,CT,Connecticut,"Some college or associate degree, 2019-23",603807
9000,CT,Connecticut,"Bachelor's degree or higher, 2019-23",1062403
9000,CT,Connecticut,"Percent of adults who are not high school graduates, 2019-23",8.668051403
9000,CT,Connecticut,"Percent of adults who are high school graduates (or equivalent), 2019-23",25.54802825
9000,CT,Connecticut,"Percent of adults completing some college or associate degree, 2019-23",23.83900684
9000,CT,Connecticut,"Percent of adults with a bachelor's degree or higher, 2019-23",41.9449135
10000,DE,Delaware,"Less than high school graduate, 2019-23",61144
10000,DE,Delaware,"High school graduate (or equivalency), 2019-23",206192
10000,DE,Delaware,"Some college or associate degree, 2019-23",192480
10000,DE,Delaware,"Bachelor's degree or higher, 2019-23",250626
10000,DE,Delaware,"Percent of adults who are not high school graduates, 2019-23",8.606473153
10000,DE,Delaware,"Percent of adults who are high school graduates (or equivalent), 2019-23",29.02305888
10000,DE,Delaware,"Percent of adults completing some college or associate degree, 2019-23",27.09299281
10000,DE,Delaware,"Percent of adults with a bachelor's degree or higher, 2019-23",35.27747515
11000,DC,District of Columbia,"Less than high school graduate, 2019-23",34651
11000,DC,District of Columbia,"High school graduate (or equivalency), 2019-23",70322
11000,DC,District of Columbia,"Some college or associate degree, 2019-23",71527
11000,DC,District of Columbia,"Bachelor's degree or higher, 2019-23",307906
11000,DC,District of Columbia,"Percent of adults who are not high school graduates, 2019-23",7.153297028
11000,DC,District of Columbia,"Percent of adults who are high school graduates (or equivalent), 2019-23",14.51716122
11000,DC,District of Columbia,"Percent of adults completing some college or associate degree, 2019-23",14.7659195
11000,DC,District of Columbia,"Percent of adults with a bachelor's degree or higher, 2019-23",63.56362225
11001,DC,District of Columbia,"Less than high school graduate, 2019-23",34651
11001,DC,District of Columbia,"High school graduate (or equivalency), 2019-23",70322
11001,DC,District of Columbia,"Some college or associate degree, 2019-23",71527
11001,DC,District of Columbia,"Bachelor's degree or higher, 2019-23",307906
11001,DC,District of Columbia,"Percent of adults who are not high school graduates, 2019-23",7.153297028
11001,DC,District of Columbia,"Percent of adults who are high school graduates (or equivalent), 2019-23",14.51716122
11001,DC,District of Columbia,"Percent of adults completing some college or associate degree, 2019-23",14.7659195
11001,DC,District of Columbia,"Percent of adults with a bachelor's degree or higher, 2019-23",63.56362225
12000,FL,Florida,"Less than high school graduate, 2019-23",1643437
12000,FL,Florida,"High school graduate (or equivalency), 2019-23",4346402
12000,FL,Florida,"Some college or associate degree, 2019-23",4596529
12000,FL,Florida,"Bachelor's degree or higher, 2019-23",5263931
12000,FL,Florida,"Percent of adults who are not high school graduates, 2019-23",10.3684921
12000,FL,Florida,"Percent of adults who are high school graduates (or equivalent), 2019-23",27.42157735
12000,FL,Florida,"Percent of adults completing some college or associate degree, 2019-23",28.99963591
12000,FL,Florida,"Percent of adults with a bachelor's degree or higher, 2019-23",33.21029464
13000,GA,Georgia,"Less than high school graduate, 2019-23",801324
13000,GA,Georgia,"High school graduate (or equivalency), 2019-23",1950698
13000,GA,Georgia,"Some college or associate degree, 2019-23",2020131
13000,GA,Georgia,"Bachelor's degree or higher, 2019-23",2480907
13000,GA,Georgia,"Percent of adults who are not high school graduates, 2019-23",11.04808178
13000,GA,Georgia,"Percent of adults who are high school graduates (or equivalent), 2019-23",26.89482784
13000,GA,Georgia,"Percent of adults completing some college or associate degree, 2019-23",27.85212035
13000,GA,Georgia,"Percent of adults with a bachelor's degree or higher, 2019-23",34.20497004
15000,HI,Hawaii,"Less than high school graduate, 2019-23",72950
15000,HI,Hawaii,"High school graduate (or equivalency), 2019-23",273812
15000,HI,Hawaii,"Some college or associate degree, 2019-23",316191
15000,HI,Hawaii,"Bachelor's degree or higher, 2019-23",364398
15000,HI,Hawaii,"Percent of adults who are not high school graduates, 2019-23",7.100786391
15000,HI,Hawaii,"Percent of adults who are high school graduates (or equivalent), 2019-23",26.65223473
15000,HI,Hawaii,"Percent of adults completing some college or associate degree, 2019-23",30.7773098
15000,HI,Hawaii,"Percent of adults with a bachelor's degree or higher, 2019-23",35.46966908
16000,ID,Idaho,"Less than high school graduate, 2019-23",103570
16000,ID,Idaho,"High school graduate (or equivalency), 2019-23",322573
16000,ID,Idaho,"Some college or associate degree, 2019-23",430144
16000,ID,Idaho,"Bachelor's degree or higher, 2019-23",388032
16000,ID,Idaho,"Percent of adults who are not high school graduates, 2019-23",8.323428317
16000,ID,Idaho,"Percent of adults who are high school graduates (or equivalent), 2019-23",25.92365784
16000,ID,Idaho,"Percent of adults completing some college or associate degree, 2019-23",34.5686275
16000,ID,Idaho,"Percent of adults with a bachelor's degree or higher, 2019-23",31.18428634
17000,IL,Illinois,"Less than high school graduate, 2019-23",851323
17000,IL,Illinois,"High school graduate (or equivalency), 2019-23",2207546
17000,IL,Illinois,"Some college or associate degree, 2019-23",2430244
17000,IL,Illinois,"Bachelor's degree or higher, 2019-23",3249494
17000,IL,Illinois,"Percent of adults who are not high school graduates, 2019-23",9.742090473
17000,IL,Illinois,"Percent of adults who are high school graduates (or equivalent), 2019-23",25.2619897
17000,IL,Illinois,"Percent of adults completing some college or associate degree, 2019-23",27.81042791
17000,IL,Illinois,"Percent of adults with a bachelor's degree or higher, 2019-23",37.18549192
18000,IN,Indiana,"Less than high school graduate, 2019-23",445651
18000,IN,Indiana,"High school graduate (or equivalency), 2019-23",1496214
18000,IN,Indiana,"Some college or associate degree, 2019-23",1304353
18000,IN,Indiana,"Bachelor's degree or higher, 2019-23",1313086
18000,IN,Indiana,"Percent of adults who are not high school graduates, 2019-23",9.774540149
18000,IN,Indiana,"Percent of adults who are high school graduates (or equivalent), 2019-23",32.81671939
18000,IN,Indiana,"Percent of adults completing some college or associate degree, 2019-23",28.60859903
18000,IN,Indiana,"Percent of adults with a bachelor's degree or higher, 2019-23",28.80014143
19000,IA,Iowa,"Less than high school graduate, 2019-23",145119
19000,IA,Iowa,"High school graduate (or equivalency), 2019-23",649969
19000,IA,Iowa,"Some college or associate degree, 2019-23",684769
19000,IA,Iowa,"Bachelor's degree or higher, 2019-23",660619
19000,IA,Iowa,"Percent of adults who are not high school graduates, 2019-23",6.779753662
19000,IA,Iowa,"Percent of adults who are high school graduates (or equivalent), 2019-23",30.36562895
19000,IA,Iowa,"Percent of adults completing some college or associate degree, 2019-23",31.99143555
19000,IA,Iowa,"Percent of adults with a bachelor's degree or higher, 2019-23",30.86318183
20000,KS,Kansas,"Less than high school graduate, 2019-23",156595
20000,KS,Kansas,"High school graduate (or equivalency), 2019-23",495115
20000,KS,Kansas,"Some college or associate degree, 2019-23",601919
20000,KS,Kansas,"Bachelor's degree or higher, 2019-23",679664
20000,KS,Kansas,"Percent of adults who are not high school graduates, 2019-23",8.09991036
20000,KS,Kansas,"Percent of adults who are high school graduates (or equivalent), 2019-23",25.60993083
20000,KS,Kansas,"Percent of adults completing some college or associate degree, 2019-23",31.13439091
20000,KS,Kansas,"Percent of adults with a bachelor's degree or higher, 2019-23",35.1557679
21000,KY,Kentucky,"Less than high school graduate, 2019-23",352966
21000,KY,Kentucky,"High school graduate (or equivalency), 2019-23",1006715
21000,KY,Kentucky,"Some college or associate degree, 2019-23",887620
21000,KY,Kentucky,"Bachelor's degree or higher, 2019-23",830856
21000,KY,Kentucky,"Percent of adults who are not high school graduates, 2019-23",11.46679653
21000,KY,Kentucky,"Percent of adults who are high school graduates (or equivalent), 2019-23",32.70512193
21000,KY,Kentucky,"Percent of adults completing some college or associate degree, 2019-23",28.83608601
21000,KY,Kentucky,"Percent of adults with a bachelor's degree or higher, 2019-23",26.99199553
22000,LA,Louisiana,"Less than high school graduate, 2019-23",407400
22000,LA,Louisiana,"High school graduate (or equivalency), 2019-23",1012121
22000,LA,Louisiana,"Some college or associate degree, 2019-23",864939
22000,LA,Louisiana,"Bachelor's degree or higher, 2019-23",825794
22000,LA,Louisiana,"Percent of adults who are not high school graduates, 2019-23",13.09860867
22000,LA,Louisiana,"Percent of adults who are high school graduates (or equivalent), 2019-23",32.54142588
22000,LA,Louisiana,"Percent of adults completing some college or associate degree, 2019-23",27.80927217
22000,LA,Louisiana,"Percent of adults with a bachelor's degree or higher, 2019-23",26.55069329
23000,ME,Maine,"Less than high school graduate, 2019-23",56031
23000,ME,Maine,"High school graduate (or equivalency), 2019-23",310243
23000,ME,Maine,"Some college or associate degree, 2019-23",291033
23000,ME,Maine,"Bachelor's degree or higher, 2019-23",359323
23000,ME,Maine,"Percent of adults who are not high school graduates, 2019-23",5.511444675
23000,ME,Maine,"Percent of adults who are high school graduates (or equivalent), 2019-23",30.51680552
23000,ME,Maine,"Percent of adults completing some college or associate degree, 2019-23",28.62722918
23000,ME,Maine,"Percent of adults with a bachelor's degree or higher, 2019-23",35.34452062
24000,MD,Maryland,"Less than high school graduate, 2019-23",382701
24000,MD,Maryland,"High school graduate (or equivalency), 2019-23",1014175
24000,MD,Maryland,"Some college or associate degree, 2019-23",1049892
24000,MD,Maryland,"Bachelor's degree or higher, 2019-23",1826045
24000,MD,Maryland,"Percent of adults who are not high school graduates, 2019-23",8.95665221
24000,MD,Maryland,"Percent of adults who are high school graduates (or equivalent), 2019-23",23.73553441
24000,MD,Maryland,"Percent of adults completing some college or associate degree, 2019-23",24.57144743
24000,MD,Maryland,"Percent of adults with a bachelor's degree or higher, 2019-23",42.73636595
25000,MA,Massachusetts,"Less than high school graduate, 2019-23",425209
25000,MA,Massachusetts,"High school graduate (or equivalency), 2019-23",1129802
25000,MA,Massachusetts,"Some college or associate degree, 2019-23",1084720
25000,MA,Massachusetts,"Bachelor's degree or higher, 2019-23",2305899
25000,MA,Massachusetts,"Percent of adults who are not high school graduates, 2019-23",8.597671075
25000,MA,Massachusetts,"Percent of adults who are high school graduates (or equivalent), 2019-23",22.84445056
25000,MA,Massachusetts,"Percent of adults completing some college or associate degree, 2019-23",21.93289834
25000,MA,Massachusetts,"Percent of adults with a bachelor's degree or higher, 2019-23",46.62498003
26000,MI,Michigan,"Less than high school graduate, 2019-23",564902
26000,MI,Michigan,"High school graduate (or equivalency), 2019-23",1964538
26000,MI,Michigan,"Some college or associate degree, 2019-23",2224908
26000,MI,Michigan,"Bachelor's degree or higher, 2019-23",2213104
26000,MI,Michigan,"Percent of adults who are not high school graduates, 2019-23",8.107727186
26000,MI,Michigan,"Percent of adults who are high school graduates (or equivalent), 2019-23",28.1959316
26000,MI,Michigan,"Percent of adults completing some college or associate degree, 2019-23",31.93287876
26000,MI,Michigan,"Percent of adults with a bachelor's degree or higher, 2019-23",31.76346245
27000,MN,Minnesota,"Less than high school graduate, 2019-23",239636
27000,MN,Minnesota,"High school graduate (or equivalency), 2019-23",916744
27000,MN,Minnesota,"Some college or associate degree, 2019-23",1227836
27000,MN,Minnesota,"Bachelor's degree or higher, 2019-23",1513374
