FIPStxt,State,Area_Name,Attribute,Value
0,US,United States,CENSUS_2020_POP,331449281
0,US,United States,ESTIMATES_BASE_2020,331464948
0,US,United States,POP_ESTIMATE_2020,331526933
0,US,United States,POP_ESTIMATE_2021,332048977
0,US,United States,POP_ESTIMATE_2022,333271411
0,US,United States,POP_ESTIMATE_2023,334914895
0,US,United States,N_POP_CHG_2020,61985
0,US,United States,N_POP_CHG_2021,522044
0,US,United States,N_POP_CHG_2022,1222434
0,US,United States,N_POP_CHG_2023,1643484
0,US,United States,BIRTHS_2020,894123
0,US,United States,BIRTHS_2021,3584459
0,US,United States,BIRTHS_2022,3679254
0,US,United States,BIRTHS_2023,3653356
0,US,United States,DEATHS_2020,852024
0,US,United States,DEATHS_2021,3438423
0,US,United States,DEATHS_2022,3456087
0,US,United States,DEATHS_2023,3148861
0,US,United States,NATURAL_CHG_2020,42099
0,US,United States,NATURAL_CHG_2021,146036
0,US,United States,NATURAL_CHG_2022,223167
0,US,United States,NATURAL_CHG_2023,504495
0,US,United States,INTERNATIONAL_MIG_2020,19886
0,US,United States,INTERNATIONAL_MIG_2021,376008
0,US,United States,INTERNATIONAL_MIG_2022,999267
0,US,United States,INTERNATIONAL_MIG_2023,1138989
0,US,United States,DOMESTIC_MIG_2020,0
0,US,United States,DOMESTIC_MIG_2021,0
0,US,United States,DOMESTIC_MIG_2022,0
0,US,United States,DOMESTIC_MIG_2023,0
0,US,United States,NET_MIG_2020,19886
0,US,United States,NET_MIG_2021,376008
0,US,United States,NET_MIG_2022,999267
0,US,United States,NET_MIG_2023,1138989
0,US,United States,RESIDUAL_2020,0
0,US,United States,RESIDUAL_2021,0
0,US,United States,RESIDUAL_2022,0
0,US,United States,RESIDUAL_2023,0
0,US,United States,R_BIRTH_2021,10.8
0,US,United States,R_BIRTH_2022,11.1
0,US,United States,R_BIRTH_2023,10.9
0,US,United States,R_DEATH_2021,10.4
0,US,United States,R_DEATH_2022,10.4
0,US,United States,R_DEATH_2023,9.4
0,US,United States,R_NATURAL_CHG_2021,0.4
0,US,United States,R_NATURAL_CHG_2022,0.7
0,US,United States,R_NATURAL_CHG_2023,1.5
0,US,United States,R_INTERNATIONAL_MIG_2021,1.1
0,US,United States,R_INTERNATIONAL_MIG_2022,3
0,US,United States,R_INTERNATIONAL_MIG_2023,3.4
0,US,United States,R_DOMESTIC_MIG_2021,0
0,US,United States,R_DOMESTIC_MIG_2022,0
0,US,United States,R_DOMESTIC_MIG_2023,0
0,US,United States,R_NET_MIG_2021,1.1
0,US,United States,R_NET_MIG_2022,3
0,US,United States,R_NET_MIG_2023,3.4
1000,AL,Alabama,CENSUS_2020_POP,5024279
