FIPS_Code,State,Area_Name,Attribute,Value
0,US,United States,Civilian_labor_force_2019,163815894
0,US,United States,Employed_2019,157805901
0,US,United States,Unemployed_2019,6009993
0,US,United States,Unemployment_rate_2019,3.7
0,US,United States,Civilian_labor_force_2020,161131754
0,US,United States,Employed_2020,148133696
0,US,United States,Unemployed_2020,12998058
0,US,United States,Unemployment_rate_2020,8.1
0,US,United States,Civilian_labor_force_2021,161784447
0,US,United States,Employed_2021,153122706
0,US,United States,Unemployed_2021,8661741
0,US,United States,Unemployment_rate_2021,5.4
0,US,United States,Civilian_labor_force_2022,164341251
0,US,United States,Employed_2022,158342285
0,US,United States,Unemployed_2022,5998966
0,US,United States,Unemployment_rate_2022,3.7
0,US,United States,Civilian_labor_force_2023,166689556
0,US,United States,Employed_2023,160623678
0,US,United States,Unemployed_2023,6065878
0,US,United States,Unemployment_rate_2023,3.6
0,US,United States,Median_Household_Income_2022,74755
1000,AL,Alabama,Civilian_labor_force_2019,2271835
1000,AL,Alabama,Employed_2019,2199379
1000,AL,Alabama,Unemployed_2019,72456
1000,AL,Alabama,Unemployment_rate_2019,3.2
1000,AL,Alabama,Civilian_labor_force_2020,2263144
1000,AL,Alabama,Employed_2020,2118600
1000,AL,Alabama,Unemployed_2020,144544
1000,AL,Alabama,Unemployment_rate_2020,6.4
1000,AL,Alabama,Civilian_labor_force_2021,2249514
1000,AL,Alabama,Employed_2021,2173978
1000,AL,Alabama,Unemployed_2021,75536
1000,AL,Alabama,Unemployment_rate_2021,3.4
1000,AL,Alabama,Civilian_labor_force_2022,2276362
1000,AL,Alabama,Employed_2022,2218627
1000,AL,Alabama,Unemployed_2022,57735
1000,AL,Alabama,Unemployment_rate_2022,2.5
1000,AL,Alabama,Civilian_labor_force_2023,2308131
1000,AL,Alabama,Employed_2023,2250472
1000,AL,Alabama,Unemployed_2023,57659
1000,AL,Alabama,Unemployment_rate_2023,2.5
1000,AL,Alabama,Median_Household_Income_2022,59703
1000,AL,Alabama,Med_HH_Income_Percent_of_State_Total_2022,100
2000,AK,Alaska,Civilian_labor_force_2019,352029
2000,AK,Alaska,Employed_2019,332197
2000,AK,Alaska,Unemployed_2019,19832
2000,AK,Alaska,Unemployment_rate_2019,5.6
2000,AK,Alaska,Civilian_labor_force_2020,346552
2000,AK,Alaska,Employed_2020,317678
2000,AK,Alaska,Unemployed_2020,28874
2000,AK,Alaska,Unemployment_rate_2020,8.3
2000,AK,Alaska,Civilian_labor_force_2021,351520
2000,AK,Alaska,Employed_2021,329147
2000,AK,Alaska,Unemployed_2021,22373
2000,AK,Alaska,Unemployment_rate_2021,6.4
2000,AK,Alaska,Civilian_labor_force_2022,353692
2000,AK,Alaska,Employed_2022,338729
2000,AK,Alaska,Unemployed_2022,14963
2000,AK,Alaska,Unemployment_rate_2022,4.2
2000,AK,Alaska,Civilian_labor_force_2023,357094
2000,AK,Alaska,Employed_2023,342005
2000,AK,Alaska,Unemployed_2023,15089
2000,AK,Alaska,Unemployment_rate_2023,4.2
2000,AK,Alaska,Median_Household_Income_2022,88072
2000,AK,Alaska,Med_HH_Income_Percent_of_State_Total_2022,100
4000,AZ,Arizona,Civilian_labor_force_2019,3432400
4000,AZ,Arizona,Employed_2019,3267548
4000,AZ,Arizona,Unemployed_2019,164852
4000,AZ,Arizona,Unemployment_rate_2019,4.8
4000,AZ,Arizona,Civilian_labor_force_2020,3471339
4000,AZ,Arizona,Employed_2020,3200219
4000,AZ,Arizona,Unemployed_2020,271120
4000,AZ,Arizona,Unemployment_rate_2020,7.8
4000,AZ,Arizona,Civilian_labor_force_2021,3525449
4000,AZ,Arizona,Employed_2021,3347264
4000,AZ,Arizona,Unemployed_2021,178185
4000,AZ,Arizona,Unemployment_rate_2021,5.1
4000,AZ,Arizona,Civilian_labor_force_2022,3599531
4000,AZ,Arizona,Employed_2022,3462671
