State,1990-91,2000-01,2010-11,2019-20,2020-21
State or jurisdiction,0,0,0,0,0
,2,3,4,5,6
Alabama,708191,991302,1281923,1501643,1596811
Alaska,168395,190649,346644,334606,310438
Arizona,591655,903195,1006195,747800,833407
Arkansas,315372,583794,753572,758604,812762
California,5313051,7891668,9367908,11688071,12640266
Colorado,423710,655037,33667,43835,51960
Connecticut,363426,664356,1018014,1145406,1232284
Delaware,115728,193695,214444,242384,256568
District of Columbia,0,3018,66420,89003,89122
Florida,1638217,2656376,3243232,4350132,4421400
Georgia,915302,1826960,1938523,2558120,2683807
Hawaii,304130,395883,359076,506398,512608
Idaho,177918,290746,312809,447265,456279
Illinois,1296895,1760299,1789706,1666707,1748182
Indiana,886123,1257919,1431487,1597990,1603648
Iowa,544944,813805,731484,818362,844790
Kansas,437413,664200,741284,765358,814209
Kentucky,617914,939046,971263,863457,862941
Louisiana,566797,834642,1018696,788014,883966
Maine,174736,212143,252786,281795,291561
Maryland,724222,999722,1392864,1835500,1948978
Massachusetts,471368,1038998,1034211,1549835,1601590
Michigan,1326884,1991097,1713746,1870193,1696282
Minnesota,744380,1174797,1206300,1399089,1457045
Mississippi,365574,758241,868310,901602,946216
Missouri,563429,945745,904594,875031,798036
Montana,110198,137341,173250,240199,254840
Nebraska,318481,514235,621956,722158,743721
Nevada,161580,333117,539711,642430,660145
New Hampshire,71225,96156,131877,128075,142755
New Jersey,854989,1246553,1495504,1758963,1586779
New Mexico,307083,538822,724046,773661,833709
New York,2313128,4461670,4247112,5367643,5105924
North Carolina,1351110,2221599,3434423,4152839,4148726
North Dakota,129986,188047,268488,309054,315686
Ohio,1360141,1922571,1888346,2101517,2067725
Oklahoma,473897,754539,924622,712481,732135
Oregon,377476,640347,537917,738257,960009
Pennsylvania,962120,1331543,1401315,1336611,1367054
Rhode Island,113614,157137,137070,180341,173527
South Carolina,578793,853139,480328,692827,787408
South Dakota,81858,129679,157443,200068,212535
Tennessee,663535,969316,1250508,1425469,1499726
Texas,2627916,4236851,5179074,6260687,6615429
Utah,304737,531974,661823,1020219,1016413
Vermont,40997,53604,72466,72801,84464
Virginia,886208,1395307,1534717,1891750,2043927
Washington,828699,1200391,1329107,1609536,1732845
West Virginia,263268,382269,395050,376015,402727
Wisconsin,841191,1186414,1151461,1311340,1396395
Wyoming,120623,149008,326523,329038,327176
U.S. Service Academies,0,0,0,0,0
Other jurisdictions,337393,709472,883692,749707,641180
American Samoa,0,0,0,3037,2806
"Federated States of 
   Micronesia",0,39,0,0,0
Guam,28283,29121,31935,31769,31154
Marshall Islands,0,1923,2000,3759,3406
Northern Marianas,0,9055,4385,6035,4092
Palau,644,2345,2038,2411,2411
Puerto Rico,277295,647622,843332,702694,597309
U.S. Virgin Islands,31170,19364,0,0,0
Alabama,1491428,1596714,1635258,1672145,1750731
Alaska,354634,307084,442189,372599,340362
Arizona,1246008,1454799,1283532,832708,913741
Arkansas,664164,940331,961279,844738,891106
California,11189120,12711305,11949976,13015178,13858691
Colorado,892320,1055084,42947,48812,56969
Connecticut,765365,1070095,1298609,1275460,1351066
Delaware,243721,311989,273552,269905,281300
District of Columbia,0,4862,84727,99109,97713
Florida,3450035,4278690,4137161,4844062,4847589
Georgia,1927598,2942730,2472836,2848579,2942506
Hawaii,640490,637659,458048,563897,562019
Idaho,374689,468312,399028,498050,500260
Illinois,2731220,2835358,2283002,1855951,1916693
Indiana,1866148,2026161,1826047,1779431,1758228
Iowa,1147636,1310816,933103,911282,926221
Kansas,921178,1069844,945604,852260,892693
Kentucky,1301309,1512545,1238971,961498,946121
Louisiana,1193657,1344379,1299478,877488,969173
Maine,367989,341704,322461,313791,319665
Maryland,1525189,1610277,1776777,2043909,2136845
Massachusetts,992686,1673540,1319269,1725809,1755971
Michigan,2794376,3207109,2186105,2082541,1859790
Minnesota,1567642,1892274,1538792,1557947,1597493
Mississippi,769888,1221318,1107642,1003974,1037424
Missouri,1186565,1523335,1153926,974385,874961
Montana,232074,221218,221003,267472,279405
Nebraska,670712,828291,793386,804154,815410
Nevada,340283,536559,688472,715374,723777
New Hampshire,149999,154882,168226,142617,156515
New Jersey,1800580,2007855,1907709,1958683,1739733
New Mexico,646707,867893,923614,861505,914072
New York,4871375,7186522,5417740,5977105,5598097
North Carolina,2845396,3578385,4381049,4624368,4548631
North Dakota,273747,302892,342491,344145,346116
Ohio,2864414,3096732,2408830,2340131,2267038
Oklahoma,998013,1215355,1179475,793379,802708
Oregon,794953,1031423,686183,822081,1052547
Pennsylvania,2026195,2144750,1787558,1488375,1498827
Rhode Island,239268,253104,174851,200818,190254
South Carolina,1218921,1374172,612721,771493,863309
South Dakota,172392,208878,200839,222784,233021
Tennessee,1397385,1561301,1595185,1587322,1644288
Texas,5534308,6824401,6606577,6971548,7253105
Utah,641768,856864,844241,1136059,1114387
Vermont,86338,86342,92440,81067,92605
Virginia,1866326,2247456,1957730,2106547,2240946
Washington,1745215,1933500,1695448,1792289,1899878
West Virginia,554435,615730,503937,418709,441547
Wisconsin,1771523,1910987,1468838,1460235,1530996
Wyoming,254028,240012,416522,366398,358713
U.S. Service Academies,0,0,0,0,0
Other jurisdictions,710539,1142765,1127263,834832,702984
American Samoa,0,0,0,3382,3077
"Federated States of 
   Micronesia",0,63,0,0,0
Guam,59564,46906,40738,35377,34157
Marshall Islands,0,3098,2551,4186,3735
Northern Marianas,0,14585,5593,6721,4486
Palau,1357,3777,2601,2684,2643
Puerto Rico,583974,1043141,1075779,782480,654885
U.S. Virgin Islands,65643,31191,0,0,0
"\1\Constant dollars based on the Consumer Price Index, prepared by the Bureau of Labor Statistics, U.S. Department of Labor, adjusted to an academic-year basis.",0,0,0,0,0
"NOTE: Data for 1990-91 are for institutions of higher education, while later data are for degree-granting institutions. Degree-granting institutions grant associate’s or higher degrees and participate in Title IV federal financial aid programs. The degree-granting classification is very similar to the earlier higher education classification, but it includes more 2-year colleges and excludes a few higher education institutions that did not grant degrees. Includes data for public institutions reporting data according to either Governmental Accounting Standards Board (GASB) or Financial Accounting Standards Board (FASB) guidance. Data in this table pertain to institutions' fiscal years that end in the academic year noted. Appropriations are revenues received by an institution through acts of a legislative body, except grants and contracts. These funds are for meeting current operating expenses and not for specific projects or programs. The most common example is a state's general appropriation. Some data have been revised from previously published figures. Detail may not sum to totals because of rounding.",0,0,0,0,0
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), ""Finance Survey"" (IPEDS-F:FY91); and Spring 2002 through Spring 2022, Finance component. (This table was prepared May 2023.)",0,0,0,0,0
