FIPStxt,State,Area_Name,Civilian_labor_force_2019,Civilian_labor_force_2020,Civilian_labor_force_2021,Civilian_labor_force_2022,Civilian_labor_force_2023,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Med_HH_Income_Percent_of_State_Total_2022,Median_Household_Income_2022,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployment_rate_2019,Unemployment_rate_2020,Unemployment_rate_2021,Unemployment_rate_2022,Unemployment_rate_2023,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,BIRTHS_2023,CENSUS_2020_POP,DEATHS_2020,DEATHS_2021,DEATHS_2022,DEATHS_2023,DOMESTIC_MIG_2020,DOMESTIC_MIG_2021,DOMESTIC_MIG_2022,DOMESTIC_MIG_2023,ESTIMATES_BASE_2020,GQ_ESTIMATES_2020,GQ_ESTIMATES_2021,GQ_ESTIMATES_2022,GQ_ESTIMATES_2023,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,INTERNATIONAL_MIG_2021,INTERNATIONAL_MIG_2022,INTERNATIONAL_MIG_2023,NATURAL_CHG_2020,NATURAL_CHG_2021,NATURAL_CHG_2022,NATURAL_CHG_2023,NET_MIG_2020,NET_MIG_2021,NET_MIG_2022,NET_MIG_2023,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022,N_POP_CHG_2023,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,POP_ESTIMATE_2023,RESIDUAL_2020,RESIDUAL_2021,RESIDUAL_2022,RESIDUAL_2023,R_BIRTH_2021,R_BIRTH_2022,R_BIRTH_2023,R_DEATH_2021,R_DEATH_2022,R_DEATH_2023,R_DOMESTIC_MIG_2021,R_DOMESTIC_MIG_2022,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2021,R_INTERNATIONAL_MIG_2022,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2021,R_NATURAL_CHG_2022,R_NATURAL_CHG_2023,R_NET_MIG_2021,R_NET_MIG_2022,R_NET_MIG_2023,"Bachelor's degree or higher, 2019-23","High school graduate (or equivalency), 2019-23","Less than high school graduate, 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23","Some college or associate degree, 2019-23"
0,US,United States,163815894.0,161131754.0,161784447.0,164341251.0,166689556.0,157805901.0,148133696.0,153122706.0,158342285.0,160623678.0,0.0,74755.0,6009993.0,12998058.0,8661741.0,5998966.0,6065878.0,3.7,8.1,5.4,3.7,3.6,894123.0,3584459.0,3679254.0,3653356.0,331449281.0,852024.0,3438423.0,3456087.0,3148861.0,0.0,0.0,0.0,0.0,331464948.0,0.0,0.0,0.0,0.0,0.0,19886.0,376008.0,999267.0,1138989.0,42099.0,146036.0,223167.0,504495.0,19886.0,376008.0,999267.0,1138989.0,61985.0,522044.0,1222434.0,1643484.0,331526933.0,332048977.0,333271411.0,334914895.0,0.0,0.0,0.0,0.0,10.8,11.1,10.9,10.4,10.4,9.4,0.0,0.0,0.0,1.1,3.0,3.4,0.4,0.7,1.5,1.1,3.0,3.4,79954302.0,59836489.0,24230217.0,28.1978456,26.19413741,10.60706676,35.00095023,64413653.0
1000,AL,Alabama,2271835.0,2263144.0,2249514.0,2276362.0,2308131.0,2199379.0,2118600.0,2173978.0,2218627.0,2250472.0,100.0,59703.0,72456.0,144544.0,75536.0,57735.0,57659.0,3.2,6.4,3.4,2.5,2.5,13867.0,57184.0,58106.0,58251.0,5024279.0,15165.0,69135.0,67208.0,59813.0,9615.0,27715.0,28464.0,30744.0,5024294.0,131372.0,134653.0,141654.0,144014.0,127914.0,125.0,1806.0,4374.0,5384.0,-1298.0,-11951.0,-9102.0,-1562.0,9740.0,29521.0,32838.0,36128.0,7570.0,18516.0,23523.0,34565.0,5031864.0,5050380.0,5073903.0,5108468.0,-872.0,946.0,-213.0,-1.0,11.3,11.5,11.4,13.7,13.3,11.7,5.5,5.6,6.0,0.4,0.9,1.1,-2.4,-1.8,-0.3,5.9,6.5,7.1,957081.0,1046374.0,409381.0,30.02828639,30.34461599,11.87195901,27.75513862,1035466.0
2000,AK,Alaska,352029.0,346552.0,351520.0,353692.0,357094.0,332197.0,317678.0,329147.0,338729.0,342005.0,100.0,88072.0,19832.0,28874.0,22373.0,14963.0,15089.0,5.6,8.3,6.4,4.2,4.2,2406.0,9453.0,9356.0,9266.0,733391.0,1171.0,5330.0,6340.0,5581.0,-1663.0,-2948.0,-7202.0,-5543.0,733374.0,30262.0,30654.0,29833.0,29815.0,30285.0,63.0,873.0,2356.0,2004.0,1235.0,4123.0,3016.0,3685.0,-1600.0,-2075.0,-4846.0,-3539.0,-410.0,1959.0,-1647.0,130.0,732964.0,734923.0,733276.0,733406.0,-45.0,-89.0,183.0,-16.0,12.9,12.7,12.6,7.3,8.6,7.6,-4.0,-9.8,-7.6,1.2,3.2,2.7,5.6,4.1,5.0,-2.8,-6.6,-4.8,152432.0,141206.0,31854.0,33.28755921,28.94140844,6.528756741,31.24227562,162411.0
4000,AZ,Arizona,3432400.0,3471339.0,3525449.0,3599531.0,3690974.0,3267548.0,3200219.0,3347264.0,3462671.0,3546508.0,100.0,74355.0,164852.0,271120.0,178185.0,136860.0,144466.0,4.8,7.8,5.1,3.8,3.9,18110.0,75693.0,79137.0,78494.0,7151502.0,18025.0,80276.0,79807.0,70792.0,29980.0,82290.0,69798.0,36179.0,7157902.0,165653.0,150826.0,161194.0,162728.0,166668.0,253.0,8010.0,22296.0,21635.0,85.0,-4583.0,-670.0,7702.0,30233.0,90300.0,92094.0,57814.0,28781.0,85804.0,93197.0,65660.0,7186683.0,7272487.0,7365684.0,7431344.0,-1537.0,87.0,1773.0,144.0,10.5,10.8,10.6,11.1,10.9,9.6,11.4,9.5,4.9,1.1,3.0,2.9,-0.6,-0.1,1.0,12.5,12.6,7.8,1627462.0,1171693.0,544528.0,33.00082374,23.47784339,10.91100067,32.6103322,1646950.0
5000,AR,Arkansas,1353175.0,1340557.0,1330676.0,1359540.0,1377657.0,1305858.0,1257949.0,1276933.0,1315886.0,1332876.0,100.0,55505.0,47317.0,82608.0,53743.0,43654.0,44781.0,3.5,6.2,4.0,3.2,3.3,8509.0,34927.0,36298.0,35566.0,3011524.0,8475.0,40180.0,40362.0,36473.0,2537.0,17806.0,18841.0,18106.0,3011490.0,82455.0,82617.0,84268.0,85120.0,82490.0,94.0,1346.0,3215.0,4096.0,34.0,-5253.0,-4064.0,-907.0,2631.0,19152.0,22056.0,22202.0,2858.0,14095.0,17961.0,21328.0,3014348.0,3028443.0,3046404.0,3067732.0,193.0,196.0,-31.0,33.0,11.6,12.0,11.6,13.3,13.3,11.9,5.9,6.2,5.9,0.4,1.1,1.3,-1.7,-1.3,-0.3,6.3,7.3,7.3,513221.0,702778.0,233857.0,29.06004025,34.3862032,11.44238198,25.11137457,593923.0
6000,CA,California,19385262.0,18958604.0,18956575.0,19169341.0,19308287.0,18589551.0,17037036.0,17568743.0,18348916.0,18388329.0,100.0,91517.0,795711.0,1921568.0,1387832.0,820425.0,919958.0,4.1,10.1,7.3,4.3,4.8,103133.0,412506.0,423922.0,414120.0,39538223.0,74587.0,345181.0,318145.0,302704.0,-67932.0,-458862.0,-332785.0,-338371.0,39538212.0,897669.0,771170.0,886334.0,891995.0,917958.0,1383.0,44116.0,126517.0,150982.0,28546.0,67325.0,105777.0,111416.0,-66549.0,-414746.0,-206268.0,-187389.0,-35012.0,-358140.0,-104444.0,-75423.0,39503200.0,39145060.0,39040616.0,38965193.0,2991.0,-10719.0,-3953.0,550.0,10.5,10.8,10.6,8.8,8.1,7.8,-11.7,-8.5,-8.7,1.1,3.2,3.9,1.7,2.7,2.9,-10.5,-5.3,-4.8,9834361.0,5496195.0,4149146.0,27.69548704,20.4007075,15.40074795,36.50305751,7461496.0
8000,CO,Colorado,3104684.0,3082228.0,3149673.0,3186932.0,3230482.0,3022060.0,2873752.0,2977479.0,3089081.0,3128115.0,100.0,89096.0,82624.0,208476.0,172194.0,97851.0,102367.0,2.7,6.8,5.5,3.1,3.2,15593.0,62137.0,62682.0,62498.0,5773714.0,11914.0,46481.0,49599.0,45099.0,7169.0,5404.0,6772.0,7236.0,5773707.0,124881.0,114634.0,123235.0,125069.0,126857.0,244.0,3913.0,10413.0,11931.0,3679.0,15656.0,13083.0,17399.0,7413.0,9317.0,17185.0,19167.0,11512.0,26377.0,29443.0,36571.0,5785219.0,5811596.0,5841039.0,5877610.0,420.0,1404.0,-825.0,5.0,10.7,10.8,10.7,8.0,8.5,7.7,0.9,1.2,1.2,0.7,1.8,2.0,2.7,2.2,3.0,1.6,2.9,3.3,1806355.0,811023.0,292446.0,27.94850805,20.08211396,7.241390069,44.72798793,1128710.0
9000,CT,Connecticut,1931826.0,1874247.0,1842166.0,1912008.0,1893200.0,1862314.0,1724812.0,1724540.0,1833670.0,1822088.0,100.0,88182.0,69512.0,149435.0,117626.0,78338.0,71112.0,3.6,8.0,6.4,4.1,3.8,8465.0,33942.0,35572.0,34957.0,3605944.0,11938.0,34571.0,34833.0,32842.0,-21420.0,19032.0,-10081.0,-9016.0,3605912.0,86236.0,98801.0,103248.0,103382.0,107997.0,410.0,6217.0,15562.0,15264.0,-3473.0,-629.0,739.0,2115.0,-21010.0,25249.0,5481.0,6248.0,-28326.0,26105.0,5015.0,8470.0,3577586.0,3603691.0,3608706.0,3617176.0,-3843.0,1485.0,-1205.0,107.0,9.5,9.9,9.7,9.6,9.7,9.1,5.3,-2.8,-2.5,1.7,4.3,4.2,-0.2,0.2,0.6,7.0,1.5,1.7,1062403.0,647094.0,219549.0,23.83900684,25.54802825,8.668051403,41.9449135,603807.0
10000,DE,Delaware,485873.0,486701.0,493627.0,497202.0,506529.0,468539.0,450325.0,466623.0,475995.0,486404.0,100.0,81933.0,17334.0,36376.0,27004.0,21207.0,20125.0,3.6,7.5,5.5,4.3,4.0,2579.0,10174.0,10883.0,10725.0,989948.0,2959.0,11228.0,11488.0,10897.0,2195.0,13284.0,12669.0,10320.0,989946.0,22409.0,22717.0,23809.0,23737.0,22718.0,62.0,939.0,2378.0,2277.0,-380.0,-1054.0,-605.0,-172.0,2257.0,14223.0,15047.0,12597.0,1916.0,13019.0,14578.0,12431.0,991862.0,1004881.0,1019459.0,1031890.0,39.0,-150.0,136.0,6.0,10.2,10.8,10.5,11.2,11.3,10.6,13.3,12.5,10.1,0.9,2.3,2.2,-1.1,-0.6,-0.2,14.2,14.9,12.3,250626.0,206192.0,61144.0,27.09299281,29.02305888,8.606473153,35.27747515,192480.0
11000,DC,District of Columbia,400641.0,386235.0,377737.0,388387.0,398251.0,378443.0,355694.0,352029.0,369952.0,378714.0,100.0,99897.0,22198.0,30541.0,25708.0,18435.0,19537.0,5.5,7.9,6.8,4.7,4.9,2187.0,8508.0,8399.0,7627.0,689545.0,2004.0,5837.0,5572.0,5020.0,-15475.0,-6551.0,-4917.0,-1509.0,689548.0,21719.0,38289.0,36723.0,37601.0,40699.0,50.0,1745.0,4527.0,6969.0,183.0,2671.0,2827.0,2607.0,-15425.0,-4806.0,-390.0,5460.0,-18709.0,-1802.0,1912.0,8023.0,670839.0,669037.0,670949.0,678972.0,-3467.0,333.0,-525.0,-44.0,12.7,12.5,11.3,8.7,8.3,7.4,-9.8,-7.3,-2.2,2.6,6.8,10.3,4.0,4.2,3.9,-7.2,-0.6,8.1,307906.0,70322.0,34651.0,14.7659195,14.51716122,7.153297028,63.56362225,71527.0
