"Table 333.30. Appropriations from state and local governments for public degree-granting postsecondary institutions, by state or jurisdiction: Selected academic 
              years, 1990-91 through 2020-21",,,,,,,,,,,,
[In thousands of dollars],,,,,,,,,,,,
State or jurisdiction,State appropriations,State appropriations,State appropriations,State appropriations,State appropriations,State appropriations,Local appropriations,Local appropriations,Local appropriations,Local appropriations,Local appropriations,Local appropriations
State or jurisdiction,1990-91,2000-01,2010-11,2018-19,2019-20,2020-21,1990-91,2000-01,2010-11,2018-19,2019-20,2020-21
1,2,3,4,5,6,7,8,9,10,11,12,13
,In current dollars,,,,,,,,,,,
    United States,"$35,898,653","$56,268,990","$63,063,322","$73,980,202","$76,606,956","$75,516,741","$3,159,789","$5,582,287","$10,023,157","$13,900,650","$14,595,331","$15,262,852"
Alabama,"708,191","991,302","1,281,923","1,501,644","1,596,811","1,646,841","6,796","4,829","1,204","2,912","2,367","3,775"
Alaska,"168,395","190,650","346,644","334,607","310,439","285,582",260,"10,340","9,681","14,000","12,748","13,793"
Arizona,"591,656","903,196","1,006,196","747,801","833,407","809,214","149,337","310,762","746,962","932,549","942,716","973,616"
Arkansas,"315,372","583,794","753,573","758,604","812,762","815,567",216,"9,496","30,375","36,829","38,021","40,632"
California,"5,313,052","7,891,669","9,367,909","11,688,071","12,640,266","11,244,569","771,160","1,764,717","2,490,057","4,246,641","4,487,975","4,749,263"
Colorado,"423,710","655,037","33,667","43,835","51,961","42,486","22,400","36,840","82,141","113,177","140,318","137,739"
Connecticut,"363,427","664,356","1,018,015","1,145,407","1,232,284","1,325,043",0,0,0,0,0,0
Delaware,"115,729","193,695","214,445","242,384","256,569","254,692",0,0,0,0,0,0
District of Columbia,0,"3,019","66,420","89,003","89,123","91,083","73,495","46,933",0,0,0,0
Florida,"1,638,218","2,656,376","3,243,232","4,350,133","4,421,401","4,518,225","1,850",2,0,0,0,0
Georgia,"915,303","1,826,961","1,938,523","2,558,121","2,683,808","2,428,020","25,705","21,615",23,50,0,0
Hawaii,"304,131","395,884","359,077","506,399","512,608","539,623",0,0,0,0,0,0
Idaho,"177,918","290,746","312,809","447,266","456,279","442,576","6,161","11,148","13,398","33,893","35,744","39,543"
Illinois,"1,296,895","1,760,300","1,789,707","1,666,707","1,748,182","1,693,448","284,635","520,136","1,001,566","1,141,645","1,172,835","1,212,441"
Indiana,"886,124","1,257,919","1,431,488","1,597,990","1,603,649","1,547,137","1,507","6,190","7,951","9,050","9,509","9,696"
Iowa,"544,945","813,805","731,485","818,363","844,790","839,711","21,624","36,129","107,022","159,972","167,826","183,581"
Kansas,"437,413","664,201","741,285","765,359","814,210","800,390","87,026","160,873","228,630","321,956","329,559","342,962"
Kentucky,"617,915","939,047","971,263","863,458","862,941","847,753","4,682","14,930","18,261","26,689","27,915","27,285"
Louisiana,"566,798","834,643","1,018,696","788,014","883,966","713,638","1,462",517,0,0,0,0
Maine,"174,737","212,144","252,786","281,795","291,561","291,088",0,0,0,0,0,0
Maryland,"724,223","999,723","1,392,864","1,835,500","1,948,979","1,967,976","117,913","185,034","319,337","432,064","448,190","453,465"
Massachusetts,"471,368","1,038,998","1,034,211","1,549,835","1,601,590","1,670,574",0,0,0,0,0,0
Michigan,"1,326,884","1,991,098","1,713,747","1,870,193","1,696,282","1,908,725","159,202","288,112","551,945","595,807","620,356","642,582"
Minnesota,"744,381","1,174,797","1,206,301","1,399,090","1,457,045","1,464,866","2,040",0,0,0,0,0
Mississippi,"365,574","758,242","868,311","901,603","946,216","922,840","25,670","38,167","58,179","75,698","75,779","80,064"
Missouri,"563,430","945,746","904,594","875,032","798,037","883,451","38,097","101,562","148,970","169,795","177,013","178,781"
Montana,"110,199","137,341","173,250","240,199","254,840","268,366","3,310","4,069","8,151","11,291","11,975","12,338"
Nebraska,"318,482","514,235","621,957","722,158","743,721","773,554","36,569","19,892","120,979","178,609","187,844","193,058"
Nevada,"161,581","333,117","539,712","642,430","660,145","543,686",0,0,0,0,0,0
New Hampshire,"71,226","96,157","131,878","128,075","142,755","143,860",6,0,7,0,0,0
New Jersey,"854,989","1,246,554","1,495,505","1,758,964","1,586,780","1,743,845","145,010","172,667","211,638","219,775","218,289","232,342"
New Mexico,"307,083","538,822","724,046","773,661","833,709","803,429","34,364","60,183","120,930","290,546","308,973","343,549"
New York,"2,313,128","4,461,671","4,247,113","5,367,643","5,105,925","5,150,873","372,650","431,415","762,484","1,066,133","1,092,902","1,084,326"
North Carolina,"1,351,111","2,221,600","3,434,423","4,152,839","4,148,726","4,142,712","62,785","113,448","196,168","266,759","269,782","280,738"
North Dakota,"129,986","188,047","268,488","309,055","315,687","326,532",9,21,"2,459","5,691","5,466","5,260"
Ohio,"1,360,141","1,922,571","1,888,347","2,101,518","2,067,725","2,162,760","63,899","101,647","163,891","215,668","198,922","231,248"
